사용일자,자치구,호선명,역명,승차총승객수,하차총승객수,등록일자
20231107,구로구,경인선,오류동,12639,11806,20231110
20231107,양천구,5호선,오목교(목동운동장앞),23051,24666,20231110
20231107,성동구,경원선,옥수,52,31,20231110
20231107,성동구,3호선,옥수,9733,9908,20231110
20231107,구로구,경인선,온수(성공회대입구),7376,6788,20231110
20231107,구로구,7호선,온수(성공회대입구),12282,11404,20231110
20231107,송파구,5호선,올림픽공원(한국체대),5636,4808,20231110
20231107,송파구,9호선2~3단계,올림픽공원(한국체대),7555,8165,20231110
20231107,성동구,2호선,왕십리(성동구청),16923,14548,20231110
20231107,성동구,경원선,왕십리(성동구청),17516,17538,20231110
20231107,성동구,5호선,왕십리(성동구청),4858,5477,20231110
20231107,동대문구,경원선,외대앞,11652,11558,20231110
20231107,성동구,2호선,용답,3320,3395,20231110
20231107,동대문구,2호선,용두(동대문구청),2751,2761,20231110
20231107,중랑구,7호선,용마산(용마폭포공원),6424,6278,20231110
20231107,용산구,경부선,용산,38500,39468,20231110
20231107,강서구,5호선,우장산,16405,16360,20231110
20231107,노원구,경원선,월계,8901,8278,20231110
20231107,성북구,6호선,월곡(동덕여대),14598,14243,20231110
20231107,마포구,6호선,월드컵경기장(성산),5164,5365,20231110
20231107,중구,3호선,을지로3가,13163,13457,20231110
20231107,중구,2호선,을지로3가,27921,27414,20231110
20231107,중구,2호선,을지로4가,15903,15982,20231110
20231107,중구,5호선,을지로4가,7339,7573,20231110
20231107,중구,2호선,을지로입구,54756,56322,20231110
20231107,성동구,경원선,응봉,2147,1898,20231110
20231107,은평구,6호선,응암,19398,19197,20231110
20231107,마포구,2호선,이대,20015,22174,20231110
20231107,동작구,7호선,이수,17341,17024,20231110
20231107,용산구,경원선,이촌(국립중앙박물관),4426,3481,20231110
20231107,용산구,4호선,이촌(국립중앙박물관),8609,9638,20231110
20231107,용산구,6호선,이태원,11205,11469,20231110
20231107,강남구,3호선,일원,13658,13118,20231110
20231107,송파구,8호선,잠실(송파구청),16231,19263,20231110
20231107,송파구,2호선,잠실(송파구청),80630,81232,20231110
20231107,송파구,2호선,잠실나루,18138,17812,20231110
20231107,송파구,2호선,잠실새내,25656,25462,20231110
20231107,서초구,3호선,잠원,5722,5532,20231110
20231107,동작구,7호선,장승배기,10488,10260,20231110
20231107,송파구,8호선,장지,19166,17509,20231110
20231107,동대문구,5호선,장한평,21158,20956,20231110
20231107,성북구,우이신설선,정릉,5462,5204,20231110
20231107,동대문구,1호선,제기동,18225,18509,20231110
20231107,종로구,1호선,종각,44327,43375,20231110
20231107,종로구,3호선,종로3가,11617,13056,20231110
20231107,종로구,5호선,종로3가,14865,14502,20231110
20231107,종로구,1호선,종로3가,27129,24561,20231110
20231107,종로구,1호선,종로5가,27087,26031,20231110
20231107,송파구,9호선2~3단계,종합운동장,5253,5540,20231110
20231107,송파구,2호선,종합운동장,21181,25445,20231110
20231107,노원구,7호선,중계,17027,15822,20231110
20231107,광진구,7호선,중곡,12431,11791,20231110
20231107,중랑구,중앙선,중랑,5906,5828,20231110
20231107,강동구,9호선2~3단계,중앙보훈병원,14006,12432,20231110
20231107,중랑구,7호선,중화,11854,11711,20231110
20231107,강서구,9호선,증미,9200,8832,20231110
20231107,은평구,6호선,증산(명지대앞),11174,11171,20231110
20231107,도봉구,경원선,창동,1,0,20231110
20231107,도봉구,4호선,창동,27632,29331,20231110
20231107,종로구,6호선,창신,4121,3628,20231110
20231107,구로구,7호선,천왕,13145,12580,20231110
20231107,강동구,8호선,천호(풍납토성),15962,18291,20231110
20231107,강동구,5호선,천호(풍납토성),19720,19734,20231110
20231107,중구,5호선,청구,4361,3942,20231110
20231107,중구,6호선,청구,4309,4451,20231110
20231107,강남구,7호선,청담,21892,24079,20231110
20231107,동대문구,경원선,청량리(서울시립대입구),16992,18241,20231110
20231107,동대문구,1호선,청량리(서울시립대입구),23265,22846,20231110
20231107,동작구,4호선,총신대입구(이수),20962,22655,20231110
20231107,중구,3호선,충무로,2,0,20231110
20231107,중구,4호선,충무로,36307,37090,20231110
20231107,서대문구,5호선,충정로(경기대입구),5370,5630,20231110
20231107,서대문구,2호선,충정로(경기대입구),11684,12435,20231110
20231107,노원구,6호선,태릉입구,6277,7263,20231110
20231107,노원구,7호선,태릉입구,10334,9726,20231110
20231107,노원구,7호선,하계,20437,19388,20231110
20231107,강남구,7호선,학동,27441,28793,20231110
20231107,강남구,3호선,학여울,2239,2222,20231110
20231107,용산구,6호선,한강진,9638,11146,20231110
20231107,용산구,경원선,한남,4620,4310,20231110
20231107,성북구,4호선,한성대입구(삼선교),16560,16152,20231110
20231107,송파구,9호선2~3단계,한성백제,3143,2873,20231110
20231107,성동구,2호선,한양대,16839,18690,20231110
20231107,강남구,분당선,한티,16942,18120,20231110
20231107,마포구,6호선,합정,14052,13851,20231110
20231107,마포구,2호선,합정,33015,34992,20231110
20231107,성동구,5호선,행당,9101,8055,20231110
20231107,종로구,4호선,혜화,39737,39718,20231110
20231107,마포구,공항철도 1호선,홍대입구,12731,12766,20231110
20231107,마포구,경의선,홍대입구,1974,2390,20231110
20231107,마포구,2호선,홍대입구,65319,68758,20231110
20231107,서대문구,3호선,홍제,20457,19706,20231110
20231107,강북구,우이신설선,화계,3919,3809,20231110
20231107,강서구,5호선,화곡,31927,29787,20231110
20231107,노원구,6호선,화랑대(서울여대입구),14698,11493,20231110
20231107,동대문구,중앙선,회기,30901,29884,20231110
20231107,중구,4호선,회현(남대문시장),30550,31261,20231110
20231107,용산구,경의선,효창공원앞,3844,4154,20231110
20231107,용산구,6호선,효창공원앞,8792,8198,20231110
20231107,동작구,9호선,흑석(중앙대입구),11402,11707,20231110
