사용일자,자치구,노선명,역명,승차총승객수,하차총승객수,등록일자
20230907,중구,6호선,청구,4367,4394,20230910
20230907,강남구,7호선,청담,21940,24116,20230910
20230907,동대문구,1호선,청량리(서울시립대입구),23242,22595,20230910
20230907,동대문구,경원선,청량리(서울시립대입구),17778,18378,20230910
20230907,동작구,4호선,총신대입구(이수),21045,22582,20230910
20230907,중구,3호선,충무로,2,0,20230910
20230907,중구,4호선,충무로,36414,37190,20230910
20230907,서대문구,2호선,충정로(경기대입구),11385,12262,20230910
20230907,서대문구,5호선,충정로(경기대입구),5483,5731,20230910
20230907,노원구,6호선,태릉입구,6385,7479,20230910
20230907,노원구,7호선,태릉입구,10693,10070,20230910
20230907,노원구,7호선,하계,20434,19264,20230910
20230907,강남구,7호선,학동,27858,29501,20230910
20230907,강남구,3호선,학여울,2410,2398,20230910
20230907,용산구,6호선,한강진,10672,12328,20230910
20230907,용산구,경원선,한남,4921,4535,20230910
20230907,성북구,4호선,한성대입구(삼선교),16493,15679,20230910
20230907,송파구,9호선2~3단계,한성백제,3094,2779,20230910
20230907,성동구,2호선,한양대,16661,18712,20230910
20230907,강남구,분당선,한티,17242,18507,20230910
20230907,마포구,2호선,합정,33856,36742,20230910
20230907,마포구,6호선,합정,14306,14429,20230910
20230907,성동구,5호선,행당,9191,8167,20230910
20230907,종로구,4호선,혜화,39662,40098,20230910
20230907,마포구,2호선,홍대입구,65767,70385,20230910
20230907,마포구,경의선,홍대입구,2006,2394,20230910
20230907,마포구,공항철도 1호선,홍대입구,13034,13228,20230910
20230907,서대문구,3호선,홍제,20506,19393,20230910
20230907,강북구,우이신설선,화계,4093,3864,20230910
20230907,강서구,5호선,화곡,31678,29580,20230910
20230907,노원구,6호선,화랑대(서울여대입구),14722,11120,20230910
20230907,동대문구,중앙선,회기,31886,30402,20230910
20230907,중구,4호선,회현(남대문시장),29585,30919,20230910
20230907,용산구,6호선,효창공원앞,8330,8005,20230910
20230907,용산구,경의선,효창공원앞,3742,4189,20230910
20230907,동작구,9호선,흑석(중앙대입구),11651,11727,20230910
